id,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
20504,30.7,55.3,42.2,Silty,Onion,28.0,3.8,28.0,28-28
28041,27.4,62.2,55.1,Loamy,Flowers,17.0,17.0,17.0,17-17-17
21239,27.2,62.1,37.2,Loamy,Potato,28.0,3.1,28.0,28-28
3185,28.6,68.4,56.6,Loamy,Maize,49.9,4.2,0.3,Urea
3155,32.5,65.0,40.0,Loamy,Wheat,47.2,0.6,1.1,Urea
41871,29.0,58.3,36.9,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
22380,18.2,72.5,56.7,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
19574,31.8,70.5,38.9,Silty,Tomato,28.0,1.9,28.0,28-28
9502,23.2,68.4,44.0,Sandy,Groundnut,19.9,2.0,47.2,DAP
21325,15.3,79.3,29.8,Loamy,Flowers,11.9,17.7,29.0,28-28
35544,36.6,72.2,30.8,Clayey,Chilli,27.9,49.4,4.6,20-20
10379,21.5,60.4,35.5,Sandy,Cotton,18.0,0.6,46.9,DAP
17294,26.3,58.2,38.4,Loamy,Potato,28.0,2.9,28.0,28-28
29635,31.2,52.2,30.3,Sandy,Rice,20.0,0.2,20.0,20-20
9027,29.5,55.5,44.4,Loamy,Sugarcane,19.6,1.7,46.7,DAP
10152,28.1,54.8,32.7,Loamy,Cotton,18.6,2.0,46.9,DAP
34847,26.3,69.6,49.9,Sandy,Rice,20.0,0.8,20.0,20-20
44682,19.9,77.7,55.8,Loamy,Chilli,10.0,26.0,26.0,10-26-26
38356,28.2,71.5,53.5,Loamy,Cotton,14.0,14.0,35.0,14-35-14
28422,22.1,62.8,46.4,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
44374,18.8,76.4,51.6,Silty,Tomato,10.0,26.0,26.0,10-26-26
36502,25.3,66.8,51.0,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
43916,21.5,61.0,55.2,Silty,Potato,10.0,26.0,26.0,10-26-26
27505,27.5,78.1,47.6,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
40793,21.3,71.4,52.4,Loamy,Cotton,14.0,14.0,35.0,14-35-14
36655,24.1,74.4,49.0,Sandy,Cotton,14.0,14.0,35.0,14-35-14
30322,25.8,84.6,40.8,Silty,Chilli,15.8,36.2,29.4,20-20
15434,22.8,57.3,38.9,Silty,Onion,28.0,4.1,28.0,28-28
18488,24.1,56.6,42.7,Silty,Potato,28.0,4.4,28.0,28-28
12916,28.8,55.1,45.8,Sandy,Cotton,19.4,1.7,47.2,DAP
31833,30.7,63.7,39.8,Clayey,Rice,20.0,4.9,20.0,20-20
4065,30.9,70.4,40.2,Loamy,Rice,48.0,4.1,0.1,Urea
43500,24.6,65.3,52.7,Loamy,Potato,10.0,26.0,26.0,10-26-26
49826,25.6,78.2,48.9,Silty,Tomato,10.0,26.0,26.0,10-26-26
22469,24.9,75.7,40.1,Loamy,Fruits,17.0,17.0,17.0,17-17-17
39685,22.2,62.7,47.7,Sandy,Cotton,14.0,14.0,35.0,14-35-14
28974,29.9,64.3,42.6,Clayey,Wheat,20.0,4.3,20.0,20-20
35092,28.3,64.2,35.4,Sandy,Rice,20.0,3.9,20.0,20-20
36218,26.1,68.4,39.7,Sandy,Cotton,14.0,14.0,35.0,14-35-14
22280,24.1,73.5,48.7,Loamy,Flowers,17.0,17.0,17.0,17-17-17
36168,22.3,59.2,44.3,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
29564,31.7,52.1,33.5,Clayey,Rice,20.0,3.1,20.0,20-20
26981,27.0,60.8,45.5,Silty,Fruits,17.0,17.0,17.0,17-17-17
37050,29.3,70.2,35.9,Loamy,Cotton,14.0,14.0,35.0,14-35-14
21212,29.9,67.4,44.0,Loamy,Onion,28.0,0.2,28.0,28-28
27920,20.1,63.1,45.0,Loamy,Flowers,17.0,17.0,17.0,17-17-17
13040,24.7,50.4,41.6,Sandy,Sugarcane,19.1,1.3,47.5,DAP
28310,15.5,68.6,69.3,Loamy,Onion,35.4,33.1,45.4,17-17-17
2983,34.8,61.2,55.1,Loamy,Maize,42.8,0.2,4.7,Urea
23078,26.2,73.0,44.6,Silty,Fruits,17.0,17.0,17.0,17-17-17
27270,27.3,69.0,44.3,Silty,Fruits,17.0,17.0,17.0,17-17-17
2985,26.6,63.7,59.6,Clayey,Rice,41.7,4.0,0.3,Urea
26904,25.1,61.3,54.1,Silty,Flowers,17.0,17.0,17.0,17-17-17
35456,34.1,61.4,34.5,Clayey,Rice,20.0,4.5,20.0,20-20
46990,22.0,73.8,43.9,Silty,Chilli,10.0,26.0,26.0,10-26-26
39085,22.7,69.2,41.4,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
20925,29.5,66.2,54.7,Silty,Onion,28.0,1.2,28.0,28-28
44597,20.6,61.0,41.1,Silty,Chilli,10.0,26.0,26.0,10-26-26
28074,26.7,78.7,51.7,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
21675,24.6,68.4,56.9,Loamy,Fruits,17.0,17.0,17.0,17-17-17
44827,22.7,76.1,56.2,Loamy,Chilli,10.0,26.0,26.0,10-26-26
8808,32.6,68.4,45.3,Loamy,Rice,33.7,38.7,1.0,DAP
36543,27.7,75.3,50.4,Silty,Groundnut,5.4,47.7,17.9,14-35-14
30877,29.9,60.7,37.3,Clayey,Wheat,20.0,2.6,20.0,20-20
15021,23.2,58.1,38.7,Loamy,Tomato,28.0,1.0,28.0,28-28
6917,31.6,71.9,51.7,Clayey,Wheat,40.8,2.9,4.3,Urea
43114,23.2,77.7,48.2,Silty,Chilli,10.0,26.0,26.0,10-26-26
27463,24.5,67.7,48.5,Loamy,Flowers,17.0,17.0,17.0,17-17-17
45127,23.1,65.7,42.5,Silty,Potato,10.0,26.0,26.0,10-26-26
14836,24.5,61.8,40.0,Silty,Potato,28.0,3.7,28.0,28-28
44397,18.5,71.0,52.7,Loamy,Potato,10.0,26.0,26.0,10-26-26
9621,22.3,67.4,39.7,Loamy,Cotton,19.6,0.2,47.8,DAP
35254,28.5,51.0,39.5,Sandy,Rice,20.0,4.4,20.0,20-20
32870,34.0,60.2,39.8,Clayey,Rice,20.0,3.1,20.0,20-20
34973,34.7,60.8,34.3,Clayey,Rice,20.0,0.4,20.0,20-20
11752,21.9,59.0,31.4,Loamy,Groundnut,19.5,1.6,47.6,DAP
23860,21.3,69.7,58.9,Loamy,Flowers,17.0,17.0,17.0,17-17-17
27603,26.9,66.2,55.0,Silty,Vegetables,17.0,17.0,17.0,17-17-17
30644,30.8,62.5,49.7,Sandy,Rice,20.0,1.9,20.0,20-20
43768,25.9,68.8,59.4,Silty,Tomato,10.0,26.0,26.0,10-26-26
32951,33.5,69.3,42.8,Clayey,Rice,20.0,4.7,20.0,20-20
1119,34.6,77.9,54.4,Loamy,Maize,44.0,4.4,2.1,Urea
28849,26.3,63.5,36.8,Sandy,Rice,20.0,2.7,20.0,20-20
44221,19.3,65.5,56.4,Loamy,Tomato,10.0,26.0,26.0,10-26-26
31743,34.6,67.9,42.2,Sandy,Rice,20.0,4.8,20.0,20-20
2494,26.1,72.0,48.0,Loamy,Wheat,42.3,4.4,1.3,Urea
23544,18.1,76.0,42.6,Silty,Fruits,17.0,17.0,17.0,17-17-17
49536,20.4,78.0,54.7,Silty,Tomato,10.0,26.0,26.0,10-26-26
13815,22.7,50.8,49.8,Loamy,Cotton,19.7,0.8,47.2,DAP
41083,22.7,64.1,47.6,Sandy,Cotton,14.0,14.0,35.0,14-35-14
18028,24.1,66.6,46.0,Loamy,Tomato,28.0,3.6,28.0,28-28
42388,20.2,66.7,52.1,Loamy,Cotton,14.0,14.0,35.0,14-35-14
16574,24.0,62.5,54.2,Loamy,Tomato,28.0,4.1,28.0,28-28
9744,26.6,55.9,40.3,Loamy,Sugarcane,18.7,0.7,47.8,DAP
48409,25.6,62.4,54.1,Silty,Tomato,10.0,26.0,26.0,10-26-26
24096,19.6,77.8,57.0,Silty,Fruits,17.0,17.0,17.0,17-17-17
6109,26.8,66.9,50.9,Loamy,Rice,46.5,1.8,4.1,Urea
36774,20.5,65.9,50.9,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
24937,18.2,74.1,51.9,Loamy,Fruits,17.0,17.0,17.0,17-17-17
200,29.1,68.5,56.4,Loamy,Rice,46.3,0.9,3.8,Urea
33418,26.8,53.5,40.8,Clayey,Wheat,20.0,0.3,20.0,20-20
30477,32.0,59.0,42.6,Clayey,Wheat,20.0,5.0,20.0,20-20
37504,20.5,57.4,45.1,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
9726,39.4,56.7,24.4,Sandy,Fruits,38.8,33.1,42.3,DAP
7343,26.6,67.2,43.9,Sandy,Groundnut,18.7,1.2,46.4,DAP
36230,23.4,68.5,50.3,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
10017,24.0,56.5,32.1,Loamy,Sugarcane,18.1,1.4,46.5,DAP
44430,27.5,64.4,50.0,Silty,Potato,10.0,26.0,26.0,10-26-26
44158,25.1,60.4,52.7,Loamy,Potato,10.0,26.0,26.0,10-26-26
16282,28.6,56.5,48.9,Silty,Potato,28.0,4.4,28.0,28-28
49904,25.1,68.9,58.4,Silty,Tomato,10.0,26.0,26.0,10-26-26
20483,29.9,59.3,45.2,Silty,Onion,28.0,1.8,28.0,28-28
6721,31.7,69.5,53.1,Loamy,Maize,44.4,3.7,2.1,Urea
18996,22.8,58.1,44.5,Silty,Onion,28.0,3.2,28.0,28-28
49665,20.9,63.3,41.9,Loamy,Tomato,10.0,26.0,26.0,10-26-26
26164,20.2,66.5,47.5,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
22288,20.2,66.3,59.6,Silty,Fruits,17.0,17.0,17.0,17-17-17
30401,26.6,55.2,34.5,Clayey,Wheat,20.0,3.2,20.0,20-20
27918,20.6,62.7,43.0,Silty,Flowers,17.0,17.0,17.0,17-17-17
44934,22.4,60.2,43.4,Silty,Tomato,10.0,26.0,26.0,10-26-26
509,33.9,60.3,46.5,Loamy,Maize,46.4,1.5,1.4,Urea
1656,30.5,75.9,46.7,Loamy,Wheat,40.6,4.6,0.6,Urea
26430,20.4,76.5,44.2,Silty,Flowers,17.0,17.0,17.0,17-17-17
29805,26.2,62.2,44.6,Sandy,Wheat,20.0,2.4,20.0,20-20
7539,27.3,60.5,33.5,Loamy,Groundnut,18.6,0.1,47.4,DAP
44013,26.2,69.2,43.0,Silty,Tomato,10.0,26.0,26.0,10-26-26
48804,23.9,72.6,56.0,Silty,Potato,10.0,26.0,26.0,10-26-26
25988,24.0,60.8,54.6,Loamy,Fruits,17.0,17.0,17.0,17-17-17
20547,29.3,65.6,38.1,Silty,Onion,28.0,5.0,28.0,28-28
25874,26.3,68.2,31.6,Silty,Sugarcane,25.1,0.4,22.1,17-17-17
24840,25.6,68.7,42.4,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
36605,29.1,68.7,52.7,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
38582,34.2,74.7,52.8,Loamy,Wheat,41.8,7.6,19.7,14-35-14
13427,21.7,64.4,49.7,Sandy,Groundnut,19.4,0.8,46.0,DAP
40549,22.5,66.6,44.7,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
3841,28.3,65.6,54.7,Loamy,Rice,41.9,0.7,1.6,Urea
14147,21.9,60.5,30.2,Sandy,Sugarcane,19.7,1.3,47.5,DAP
22330,39.7,40.2,34.6,Clayey,Chilli,0.9,44.7,42.2,17-17-17
12754,20.6,58.2,31.5,Sandy,Groundnut,19.9,1.7,46.8,DAP
22129,24.7,76.7,49.0,Silty,Fruits,17.0,17.0,17.0,17-17-17
3786,25.2,62.5,57.1,Loamy,Rice,46.8,4.0,4.4,Urea
33902,30.7,59.2,34.4,Sandy,Wheat,20.0,0.5,20.0,20-20
10666,22.0,63.5,43.4,Loamy,Cotton,19.9,1.5,46.8,DAP
26442,23.5,76.9,46.0,Loamy,Fruits,17.0,17.0,17.0,17-17-17
18118,29.2,65.2,36.4,Silty,Onion,28.0,1.3,28.0,28-28
21843,22.3,65.2,50.2,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
33889,32.2,60.2,34.1,Clayey,Rice,20.0,2.9,20.0,20-20
30306,25.6,60.4,30.9,Clayey,Rice,20.0,2.6,20.0,20-20
49547,28.0,71.7,47.9,Loamy,Chilli,10.0,26.0,26.0,10-26-26
34533,34.7,68.1,47.7,Clayey,Wheat,20.0,3.5,20.0,20-20
11668,26.2,57.2,46.1,Sandy,Groundnut,18.7,0.6,46.8,DAP
31445,34.9,64.3,36.3,Clayey,Rice,20.0,0.8,20.0,20-20
20702,27.8,62.8,43.9,Loamy,Potato,28.0,2.1,28.0,28-28
14961,31.6,62.1,39.0,Loamy,Potato,28.0,3.4,28.0,28-28
34854,32.3,59.6,41.0,Clayey,Wheat,20.0,2.0,20.0,20-20
19650,27.3,56.8,51.3,Loamy,Onion,28.0,1.7,28.0,28-28
18381,24.1,73.9,49.6,Loamy,Tomato,28.0,4.5,28.0,28-28
6231,33.8,40.6,21.9,Loamy,Chilli,18.7,19.9,15.3,Urea
14580,27.5,74.2,54.4,Silty,Potato,28.0,0.8,28.0,28-28
5565,31.1,71.2,48.5,Loamy,Wheat,47.2,1.5,2.4,Urea
36055,29.8,58.6,45.2,Sandy,Cotton,14.0,14.0,35.0,14-35-14
35570,28.7,60.2,39.2,Clayey,Wheat,20.0,0.4,20.0,20-20
39841,29.9,69.1,45.6,Sandy,Cotton,14.0,14.0,35.0,14-35-14
19274,24.7,60.2,30.7,Loamy,Tomato,45.2,49.9,23.7,28-28
39671,30.7,74.0,40.5,Sandy,Wheat,41.3,3.6,17.5,14-35-14
30325,25.5,59.6,35.6,Clayey,Wheat,20.0,1.1,20.0,20-20
47475,25.8,79.1,52.5,Loamy,Tomato,10.0,26.0,26.0,10-26-26
38075,25.1,56.4,47.2,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
29643,32.0,62.6,49.9,Clayey,Wheat,20.0,4.3,20.0,20-20
6216,26.1,69.6,49.7,Clayey,Maize,48.1,4.1,2.2,Urea
13127,20.7,51.2,39.8,Sandy,Groundnut,19.0,0.1,47.3,DAP
20465,31.7,68.5,50.4,Loamy,Onion,28.0,2.9,28.0,28-28
45719,24.9,60.2,53.5,Loamy,Chilli,10.0,26.0,26.0,10-26-26
26534,26.7,67.3,56.3,Loamy,Flowers,17.0,17.0,17.0,17-17-17
23669,25.6,72.7,56.4,Loamy,Fruits,17.0,17.0,17.0,17-17-17
16419,22.3,62.3,40.2,Loamy,Onion,28.0,1.4,28.0,28-28
32326,25.7,53.6,39.0,Sandy,Wheat,20.0,4.3,20.0,20-20
42086,28.9,68.4,38.1,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
46094,23.1,61.9,54.1,Loamy,Tomato,10.0,26.0,26.0,10-26-26
36733,20.9,70.8,46.6,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
36993,23.0,74.9,45.2,Sandy,Cotton,14.0,14.0,35.0,14-35-14
13658,27.1,60.8,44.9,Loamy,Groundnut,18.3,1.2,47.9,DAP
47773,22.6,79.2,46.7,Silty,Potato,10.0,26.0,26.0,10-26-26
44210,25.7,74.4,49.3,Silty,Chilli,10.0,26.0,26.0,10-26-26
40652,27.3,59.5,49.1,Loamy,Cotton,14.0,14.0,35.0,14-35-14
49293,20.9,62.4,50.5,Silty,Chilli,10.0,26.0,26.0,10-26-26
31769,28.3,66.8,37.4,Sandy,Wheat,20.0,2.9,20.0,20-20
24240,23.7,77.7,57.2,Silty,Vegetables,17.0,17.0,17.0,17-17-17
6341,34.5,63.5,54.4,Loamy,Rice,41.8,3.7,3.9,Urea
26392,27.0,75.1,50.5,Silty,Vegetables,17.0,17.0,17.0,17-17-17
5012,33.8,70.5,42.9,Loamy,Wheat,46.7,0.9,4.2,Urea
5909,29.7,61.2,58.4,Clayey,Rice,43.9,4.0,2.0,Urea
49962,24.8,75.5,54.4,Loamy,Potato,10.0,26.0,26.0,10-26-26
11824,28.8,60.7,44.4,Loamy,Cotton,19.3,1.4,47.2,DAP
24760,26.4,61.4,53.1,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
12293,23.7,64.5,36.9,Loamy,Cotton,19.0,1.0,46.9,DAP
37145,29.7,55.9,45.1,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
1391,32.4,78.3,57.0,Loamy,Wheat,44.6,3.0,0.8,Urea
40732,29.9,74.5,52.7,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
5147,25.6,61.8,47.6,Clayey,Maize,40.8,2.5,2.8,Urea
2673,25.3,72.2,51.4,Loamy,Wheat,40.1,1.7,1.1,Urea
22915,18.8,65.9,47.1,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
43896,27.0,70.2,42.5,Loamy,Chilli,10.0,26.0,26.0,10-26-26
29462,34.0,65.0,37.7,Clayey,Rice,20.0,2.4,20.0,20-20
34613,27.1,55.8,39.7,Clayey,Rice,20.0,2.3,20.0,20-20
28367,20.6,65.3,42.3,Loamy,Fruits,17.0,17.0,17.0,17-17-17
27635,25.9,66.1,44.4,Loamy,Flowers,17.0,17.0,17.0,17-17-17
24779,23.9,68.8,40.8,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
2768,31.7,66.6,48.2,Loamy,Wheat,40.9,2.8,3.9,Urea
1407,25.6,64.3,60.0,Loamy,Maize,46.9,4.3,1.1,Urea
10090,22.0,61.1,40.7,Sandy,Sugarcane,19.6,0.4,48.0,DAP
19973,22.9,70.9,50.5,Silty,Onion,28.0,2.4,28.0,28-28
3594,27.9,74.1,47.2,Loamy,Rice,46.6,1.9,1.8,Urea
8544,29.8,69.6,41.6,Sandy,Groundnut,18.1,1.1,47.7,DAP
5267,25.3,72.1,43.4,Clayey,Maize,44.6,0.6,4.1,Urea
34564,30.3,54.3,49.4,Clayey,Rice,20.0,0.2,20.0,20-20
27062,19.0,67.5,44.7,Silty,Vegetables,17.0,17.0,17.0,17-17-17
33009,31.9,67.1,46.6,Sandy,Rice,20.0,2.6,20.0,20-20
11903,21.4,64.7,41.7,Loamy,Sugarcane,19.0,1.3,46.8,DAP
43248,25.7,76.5,41.6,Silty,Potato,10.0,26.0,26.0,10-26-26
14296,30.7,71.2,48.8,Silty,Tomato,28.0,3.6,28.0,28-28
35972,22.2,67.3,38.9,Sandy,Cotton,14.0,14.0,35.0,14-35-14
2339,33.0,62.8,44.4,Clayey,Rice,47.9,0.2,3.8,Urea
33433,27.4,54.9,40.1,Clayey,Rice,20.0,2.6,20.0,20-20
13130,26.4,62.5,39.7,Loamy,Groundnut,18.3,0.1,47.7,DAP
46801,25.6,76.9,48.0,Loamy,Tomato,10.0,26.0,26.0,10-26-26
34978,25.4,50.1,37.0,Clayey,Wheat,20.0,1.7,20.0,20-20
148,25.2,66.5,49.8,Clayey,Maize,41.3,0.1,3.8,Urea
7380,22.9,55.0,31.6,Sandy,Sugarcane,18.5,0.8,47.5,DAP
28677,27.5,69.2,31.9,Sandy,Rice,20.0,3.1,20.0,20-20
36372,26.6,61.5,46.5,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
23740,21.1,79.6,58.5,Loamy,Fruits,17.0,17.0,17.0,17-17-17
13183,26.3,62.7,42.9,Sandy,Cotton,18.5,1.1,47.0,DAP
14855,28.1,74.1,36.4,Silty,Onion,28.0,0.3,28.0,28-28
41323,28.9,56.9,42.5,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
29130,33.8,57.9,38.0,Clayey,Wheat,20.0,4.3,20.0,20-20
39008,24.5,62.3,42.6,Loamy,Cotton,14.0,14.0,35.0,14-35-14
7097,28.6,61.8,57.2,Loamy,Wheat,44.9,3.8,1.8,Urea
18347,30.6,64.7,41.9,Silty,Tomato,28.0,1.3,28.0,28-28
1508,27.1,79.6,54.0,Loamy,Maize,44.0,4.4,3.1,Urea
24168,18.4,78.6,53.0,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
19698,25.7,59.7,51.9,Silty,Potato,28.0,1.5,28.0,28-28
17312,30.5,74.5,40.8,Loamy,Potato,28.0,2.7,28.0,28-28
1445,32.0,74.2,41.9,Loamy,Rice,42.2,4.9,1.5,Urea
26971,20.9,67.5,54.3,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
41439,21.6,73.3,53.3,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
6233,32.5,64.4,45.9,Clayey,Rice,43.4,4.8,2.6,Urea
14748,26.2,65.9,48.9,Loamy,Tomato,28.0,5.0,28.0,28-28
32999,33.6,57.7,36.0,Clayey,Rice,20.0,1.9,20.0,20-20
10784,21.2,51.7,49.8,Loamy,Groundnut,18.5,0.4,47.4,DAP
35853,28.4,63.0,42.1,Sandy,Cotton,14.0,14.0,35.0,14-35-14
47110,25.8,77.0,58.0,Silty,Chilli,10.0,26.0,26.0,10-26-26
36252,26.5,63.9,46.3,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
46516,20.7,73.1,43.8,Loamy,Chilli,10.0,26.0,26.0,10-26-26
20939,23.5,68.0,45.3,Silty,Tomato,28.0,4.4,28.0,28-28
48594,21.7,68.3,40.5,Loamy,Chilli,10.0,26.0,26.0,10-26-26
15135,31.0,62.8,54.6,Loamy,Potato,28.0,3.3,28.0,28-28
14935,26.3,67.7,36.8,Loamy,Potato,28.0,3.1,28.0,28-28
15696,28.9,73.0,50.4,Silty,Onion,28.0,0.7,28.0,28-28
37631,28.2,60.1,52.7,Sandy,Sugarcane,14.0,14.0,35.0,14-35-14
15018,30.7,55.2,42.5,Silty,Potato,28.0,1.1,28.0,28-28
8909,23.5,53.4,34.2,Sandy,Sugarcane,19.6,0.7,46.6,DAP
49400,18.6,71.9,46.1,Silty,Potato,10.0,26.0,26.0,10-26-26
14291,31.9,72.8,42.1,Loamy,Tomato,28.0,3.9,28.0,28-28
15147,25.2,58.3,40.0,Silty,Onion,28.0,0.3,28.0,28-28
263,28.6,69.9,56.6,Loamy,Wheat,44.7,2.3,4.1,Urea
6129,27.9,70.6,48.6,Clayey,Rice,47.3,4.5,3.1,Urea
4983,25.4,67.2,43.0,Clayey,Wheat,42.8,2.1,4.9,Urea
38332,25.5,70.4,42.5,Sandy,Cotton,14.0,14.0,35.0,14-35-14
11873,21.2,64.1,42.1,Loamy,Sugarcane,19.2,1.4,47.8,DAP
1220,30.1,73.5,47.7,Loamy,Wheat,42.7,2.2,2.6,Urea
36760,25.9,57.4,38.4,Sandy,Cotton,14.0,14.0,35.0,14-35-14
14199,24.4,66.9,32.5,Sandy,Sugarcane,19.9,1.0,47.3,DAP
46623,20.2,68.1,45.0,Silty,Chilli,10.0,26.0,26.0,10-26-26
40340,28.2,72.2,38.3,Loamy,Cotton,14.0,14.0,35.0,14-35-14
6949,34.7,71.1,42.5,Loamy,Wheat,42.0,0.7,0.4,Urea
29142,34.1,52.6,30.1,Sandy,Rice,20.0,0.5,20.0,20-20
29173,33.7,58.0,42.4,Sandy,Wheat,20.0,1.2,20.0,20-20
26234,22.7,74.6,40.6,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
48551,19.8,78.9,55.1,Silty,Potato,10.0,26.0,26.0,10-26-26
11434,24.1,64.1,40.7,Loamy,Cotton,19.3,0.7,46.5,DAP
16159,27.8,71.8,47.0,Loamy,Onion,28.0,1.2,28.0,28-28
24928,20.8,62.4,44.1,Loamy,Fruits,17.0,17.0,17.0,17-17-17
20027,28.2,72.9,36.4,Loamy,Onion,28.0,2.9,28.0,28-28
48418,24.8,69.0,50.6,Silty,Potato,10.0,26.0,26.0,10-26-26
1499,25.8,61.5,43.9,Loamy,Wheat,46.8,1.6,0.5,Urea
6937,29.7,62.1,50.0,Clayey,Wheat,47.8,2.5,4.0,Urea
28234,20.0,63.6,53.8,Loamy,Flowers,17.0,17.0,17.0,17-17-17
25699,25.6,64.0,43.0,Silty,Fruits,17.0,17.0,17.0,17-17-17
45195,19.3,70.1,48.9,Silty,Potato,10.0,26.0,26.0,10-26-26
33568,34.4,66.6,46.7,Clayey,Rice,20.0,2.0,20.0,20-20
26495,37.2,68.1,68.5,Clayey,Flowers,31.9,3.2,21.7,17-17-17
12628,24.1,52.7,31.8,Sandy,Cotton,18.3,1.0,46.3,DAP
9805,23.4,52.5,45.3,Sandy,Vegetables,4.4,24.1,41.1,DAP
5504,30.0,76.2,49.6,Loamy,Maize,42.2,3.0,0.3,Urea
